uid,capture_date,confirmed
4,2020-05-01,2291
4,2020-05-02,2470
4,2020-05-03,2705
4,2020-05-04,2895
4,2020-05-05,3225
4,2020-05-06,3393
4,2020-05-07,3564
4,2020-05-08,3781
4,2020-05-09,4042
4,2020-05-10,4403
4,2020-05-11,4687
4,2020-05-12,4968
4,2020-05-13,5227
4,2020-05-14,5640
4,2020-05-15,6054
4,2020-05-16,6403
4,2020-05-17,6665
4,2020-05-18,7073
4,2020-05-19,7654
4,2020-05-20,8146
4,2020-05-21,8677
4,2020-05-22,9219
4,2020-05-23,10001
4,2020-05-24,10585
4,2020-05-25,11176
4,2020-05-26,11834
4,2020-05-27,12459
4,2020-05-28,13039
4,2020-05-29,13662
4,2020-05-30,14528
4,2020-05-31,15208
4,2020-06-01,15753
4,2020-06-02,16512
4,2020-06-03,17270
4,2020-06-04,18057
4,2020-06-05,18972
4,2020-06-06,19554
4,2020-06-07,20345
4,2020-06-08,20920
4,2020-06-09,21462
4,2020-06-10,22146
4,2020-06-11,22894
4,2020-06-12,23550
4,2020-06-13,24106
4,2020-06-14,24770
4,2020-06-15,25531
4,2020-06-16,26314
4,2020-06-17,26878
4,2020-06-18,27536
4,2020-06-19,27882
4,2020-06-20,28428
4,2020-06-21,28837
4,2020-06-22,29147
4,2020-06-23,29471
4,2020-06-24,29705
4,2020-06-25,30165
4,2020-06-26,30441
4,2020-06-27,30606
4,2020-06-28,30957
4,2020-06-29,31228
4,2020-06-30,31507
4,2020-07-01,31826
4,2020-07-02,32012
4,2020-07-03,32314
4,2020-07-04,32662
4,2020-07-05,32941
4,2020-07-06,33180
4,2020-07-07,33374
4,2020-07-08,33584
4,2020-07-09,33898
4,2020-07-10,34184
4,2020-07-11,34356
4,2020-07-12,34441
4,2020-07-13,34595
4,2020-07-14,34730
4,2020-07-15,34984
4,2020-07-16,35060
4,2020-07-17,35219
4,2020-07-18,35279
4,2020-07-19,35453
4,2020-07-20,35493
4,2020-07-21,35605
4,2020-07-22,35717
4,2020-07-23,35918
4,2020-07-24,35978
4,2020-07-25,36026
4,2020-07-26,36147
4,2020-07-27,36253
4,2020-07-28,36358
4,2020-07-29,36463
4,2020-07-30,36532
4,2020-07-31,36665
4,2020-08-01,36700
4,2020-08-02,36701
4,2020-08-03,36737
4,2020-08-04,36773
4,2020-08-05,36820
4,2020-08-06,36928
4,2020-08-07,37006
4,2020-08-08,37046
4,2020-08-09,37083
4,2020-08-10,37153
4,2020-08-11,37260
4,2020-08-12,37336
4,2020-08-13,37422
4,2020-08-14,37497
4,2020-08-15,37542
4,2020-08-16,37590
4,2020-08-17,37667
4,2020-08-18,37710
4,2020-08-19,37750
4,2020-08-20,37852
4,2020-08-21,37885
4,2020-08-22,37944
4,2020-08-23,37990
4,2020-08-24,38045
4,2020-08-25,38061
4,2020-08-26,38103
4,2020-08-27,38119
4,2020-08-28,38130
4,2020-08-29,38133
4,2020-08-30,38155
4,2020-08-31,38159
4,2020-09-01,38193
4,2020-09-02,38243
4,2020-09-03,38288
4,2020-09-04,38304
4,2020-09-05,38324
4,2020-09-06,38398
4,2020-09-07,38494
4,2020-09-08,38520
4,2020-09-09,38544
4,2020-09-10,38572
4,2020-09-11,38606
4,2020-09-12,38641
4,2020-09-13,38716
4,2020-09-14,38772
4,2020-09-15,38815
4,2020-09-16,38855
4,2020-09-17,38872
4,2020-09-18,38897
4,2020-09-19,38919
4,2020-09-20,39044
4,2020-09-21,39074
4,2020-09-22,39096
4,2020-09-23,39145
4,2020-09-24,39170
4,2020-09-25,39186
4,2020-09-26,39192
4,2020-09-27,39227
4,2020-09-28,39239
4,2020-09-29,39254
4,2020-09-30,39268
4,2020-10-01,39285
4,2020-10-02,39290
4,2020-10-03,39297
4,2020-10-04,39341
4,2020-10-05,39422
4,2020-10-06,39486
4,2020-10-07,39548
4,2020-10-08,39616
4,2020-10-09,39693
4,2020-10-10,39703
4,2020-10-11,39799
4,2020-10-12,39870
4,2020-10-13,39928
4,2020-10-14,39994
4,2020-10-15,40026
4,2020-10-16,40088
4,2020-10-17,40141
4,2020-10-18,40200
4,2020-10-19,40287
4,2020-10-20,40369
4,2020-10-21,40510
4,2020-10-22,40626
4,2020-10-23,40687
4,2020-10-24,40768
4,2020-10-25,40833
4,2020-10-26,40937
4,2020-10-27,41032
4,2020-10-28,41145
4,2020-10-29,41268
4,2020-10-30,41334
4,2020-10-31,41425
4,2020-11-01,41501
4,2020-11-02,41633
4,2020-11-03,41728
4,2020-11-04,41814
4,2020-11-05,41935
4,2020-11-06,41975
4,2020-11-07,42033
4,2020-11-08,42159
4,2020-11-09,42297
4,2020-11-10,42463
4,2020-11-11,42609
4,2020-11-12,42795
4,2020-11-13,42969
4,2020-11-14,43035
4,2020-11-15,43240
4,2020-11-16,43468
4,2020-11-17,43681
4,2020-11-18,43924
4,2020-11-19,44177
4,2020-11-20,44363
4,2020-11-21,44503
4,2020-11-22,44706
4,2020-11-23,44988
4,2020-11-24,45174
4,2020-11-25,45384
4,2020-11-26,45600
4,2020-11-27,45723
4,2020-11-28,45844
4,2020-11-29,46116
4,2020-11-30,46274
4,2020-12-01,46516
4,2020-12-02,46718
4,2020-12-03,46837
4,2020-12-04,46837
4,2020-12-05,47072
4,2020-12-06,47306
4,2020-12-07,47516
4,2020-12-08,47716
4,2020-12-09,47851
4,2020-12-10,48053
4,2020-12-11,48116
4,2020-12-12,48229
4,2020-12-13,48527
4,2020-12-14,48718
4,2020-12-15,48952
4,2020-12-16,49161
4,2020-12-17,49378
4,2020-12-18,49621
4,2020-12-19,49681
4,2020-12-20,49817
4,2020-12-21,50013
4,2020-12-22,50190
4,2020-12-23,50433
4,2020-12-24,50655
4,2020-12-25,50810
4,2020-12-26,50886
4,2020-12-27,51039
4,2020-12-28,51280
4,2020-12-29,51350
4,2020-12-30,51405
4,2020-12-31,51526
4,2021-01-01,51526
4,2021-01-02,51526
4,2021-01-03,51526
4,2021-01-04,53011
4,2021-01-05,53105
4,2021-01-06,53105
4,2021-01-07,53207
4,2021-01-08,53332
4,2021-01-09,53400
4,2021-01-10,53489
4,2021-01-11,53538
4,2021-01-12,53584
4,2021-01-13,53584
4,2021-01-14,53775
4,2021-01-15,53831
4,2021-01-16,53938
4,2021-01-17,53984
4,2021-01-18,54062
4,2021-01-19,54141
4,2021-01-20,54278
4,2021-01-21,54403
4,2021-01-22,54483
4,2021-01-23,54559
4,2021-01-24,54595
4,2021-01-25,54672
4,2021-01-26,54750
4,2021-01-27,54854
4,2021-01-28,54891
4,2021-01-29,54939
4,2021-01-30,55008
4,2021-01-31,55023
4,2021-02-01,55059
4,2021-02-02,55121
4,2021-02-03,55174
4,2021-02-04,55231
4,2021-02-05,55265
4,2021-02-06,55330
4,2021-02-07,55335
4,2021-02-08,55359
4,2021-02-09,55384
4,2021-02-10,55402
4,2021-02-11,55420
4,2021-02-12,55445
4,2021-02-13,55473
4,2021-02-14,55492
4,2021-02-15,55514
4,2021-02-16,55518
4,2021-02-17,55540
4,2021-02-18,55557
4,2021-02-19,55575
4,2021-02-20,55580
4,2021-02-21,55604
4,2021-02-22,55617
4,2021-02-23,55646
4,2021-02-24,55664
4,2021-02-25,55680
4,2021-02-26,55696
4,2021-02-27,55707
4,2021-02-28,55714
4,2021-03-01,55733
4,2021-03-02,55759
4,2021-03-03,55770
4,2021-03-04,55775
4,2021-03-05,55827
4,2021-03-06,55840
4,2021-03-07,55847
4,2021-03-08,55876
4,2021-03-09,55876
4,2021-03-10,55894
4,2021-03-11,55917
4,2021-03-12,55959
4,2021-03-13,55959
4,2021-03-14,55985
4,2021-03-15,55985
4,2021-03-16,55995
4,2021-03-17,56016
4,2021-03-18,56044
4,2021-03-19,56069
4,2021-03-20,56093
4,2021-03-21,56103
4,2021-03-22,56153
4,2021-03-23,56177
4,2021-03-24,56192
4,2021-03-25,56226
4,2021-03-26,56254
4,2021-03-27,56290
4,2021-03-28,56294
4,2021-03-29,56322
4,2021-03-30,56384
4,2021-03-31,56454
4,2021-04-01,56517
4,2021-04-02,56572
4,2021-04-03,56595
4,2021-04-04,56676
4,2021-04-05,56717
4,2021-04-06,56779
4,2021-04-07,56873
4,2021-04-08,56943
4,2021-04-09,57019
4,2021-04-10,57144
4,2021-04-11,57160
4,2021-04-12,57242
4,2021-04-13,57364
4,2021-04-14,57492
8,2020-01-22,0
8,2020-01-23,0
8,2020-01-24,0
8,2020-01-25,0
8,2020-01-26,0
8,2020-01-27,0
8,2020-01-28,0
8,2020-01-29,0
8,2020-01-30,0
8,2020-01-31,0
8,2020-02-01,0
8,2020-02-02,0
8,2020-02-03,0
8,2020-02-04,0
8,2020-02-05,0
8,2020-02-06,0
8,2020-02-07,0
8,2020-02-08,0
8,2020-02-09,0
8,2020-02-10,0
8,2020-02-11,0
8,2020-02-12,0
8,2020-02-13,0
8,2020-02-14,0
8,2020-02-15,0
8,2020-02-16,0
8,2020-02-17,0
8,2020-02-18,0
8,2020-02-19,0
8,2020-02-20,0
8,2020-02-21,0
8,2020-02-22,0
8,2020-02-23,0
8,2020-02-24,0
8,2020-02-25,0
8,2020-02-26,0
8,2020-02-27,0
8,2020-02-28,0
8,2020-02-29,0
8,2020-03-01,0
8,2020-03-02,0
8,2020-03-03,0
8,2020-03-04,0
8,2020-03-05,0
8,2020-03-06,0
8,2020-03-07,0
8,2020-03-08,0
8,2020-03-09,2
8,2020-03-10,10
8,2020-03-11,12
8,2020-03-12,23
8,2020-03-13,33
8,2020-03-14,38
8,2020-03-15,42
8,2020-03-16,51
8,2020-03-17,55
8,2020-03-18,59
8,2020-03-19,64
8,2020-03-20,70
8,2020-03-21,76
8,2020-03-22,89
8,2020-03-23,104
8,2020-03-24,123
8,2020-03-25,146
8,2020-03-26,174
8,2020-03-27,186
8,2020-03-28,197
8,2020-03-29,212
8,2020-03-30,223
8,2020-03-31,243
8,2020-04-01,259
8,2020-04-02,277
8,2020-04-03,304
8,2020-04-04,333
8,2020-04-05,361
8,2020-04-06,377
8,2020-04-07,383
8,2020-04-08,400
8,2020-04-09,409
8,2020-04-10,416
8,2020-04-11,433
8,2020-04-12,446
8,2020-04-13,467
8,2020-04-14,475
8,2020-04-15,494
8,2020-04-16,518
8,2020-04-17,539
8,2020-04-18,548
8,2020-04-19,562
8,2020-04-20,584
8,2020-04-21,609
8,2020-04-22,634
8,2020-04-23,663
8,2020-04-24,678
8,2020-04-25,712
8,2020-04-26,726
8,2020-04-27,736
8,2020-04-28,750
8,2020-04-29,766
8,2020-04-30,773
8,2020-05-01,782
8,2020-05-02,789
8,2020-05-03,795
8,2020-05-04,803
8,2020-05-05,820
8,2020-05-06,832
8,2020-05-07,842
8,2020-05-08,850
8,2020-05-09,856
8,2020-05-10,868
8,2020-05-11,872
8,2020-05-12,876
8,2020-05-13,880
8,2020-05-14,898
8,2020-05-15,916
8,2020-05-16,933
8,2020-05-17,946
8,2020-05-18,948
8,2020-05-19,949
8,2020-05-20,964
8,2020-05-21,969
8,2020-05-22,981
8,2020-05-23,989
8,2020-05-24,998
8,2020-05-25,1004
8,2020-05-26,1029
8,2020-05-27,1050
8,2020-05-28,1076
8,2020-05-29,1099
8,2020-05-30,1122
8,2020-05-31,1137
8,2020-06-01,1143
8,2020-06-02,1164
8,2020-06-03,1184
8,2020-06-04,1197
8,2020-06-05,1212
8,2020-06-06,1232
8,2020-06-07,1246
8,2020-06-08,1263
8,2020-06-09,1299
8,2020-06-10,1341
8,2020-06-11,1385
8,2020-06-12,1416
8,2020-06-13,1464
8,2020-06-14,1521
8,2020-06-15,1590
8,2020-06-16,1672
8,2020-06-17,1722
8,2020-06-18,1788
8,2020-06-19,1838
8,2020-06-20,1891
8,2020-06-21,1962
8,2020-06-22,1995
8,2020-06-23,2047
8,2020-06-24,2114
8,2020-06-25,2192
8,2020-06-26,2269
8,2020-06-27,2330
8,2020-06-28,2402
8,2020-06-29,2466
8,2020-06-30,2535
8,2020-07-01,2580
8,2020-07-02,2662
8,2020-07-03,2752
8,2020-07-04,2819
8,2020-07-05,2893
8,2020-07-06,2964
8,2020-07-07,3038
8,2020-07-08,3106
8,2020-07-09,3188
8,2020-07-10,3278
8,2020-07-11,3371
8,2020-07-12,3454
8,2020-07-13,3571
8,2020-07-14,3667
8,2020-07-15,3752
8,2020-07-16,3851
8,2020-07-17,3906
8,2020-07-18,4008
8,2020-07-19,4090
8,2020-07-20,4171
8,2020-07-21,4290
8,2020-07-22,4358
8,2020-07-23,4466
8,2020-07-24,4570
8,2020-07-25,4637
8,2020-07-26,4763
8,2020-07-27,4880
8,2020-07-28,4997
8,2020-07-29,5105
8,2020-07-30,5197
8,2020-07-31,5276
8,2020-08-01,5396
8,2020-08-02,5519
8,2020-08-03,5620
8,2020-08-04,5750
8,2020-08-05,5889
8,2020-08-06,6016
8,2020-08-07,6151
8,2020-08-08,6275
8,2020-08-09,6411
8,2020-08-10,6536
8,2020-08-11,6676
8,2020-08-12,6817
8,2020-08-13,6971
8,2020-08-14,7117
8,2020-08-15,7260
8,2020-08-16,7380
8,2020-08-17,7499
8,2020-08-18,7654
8,2020-08-19,7812
8,2020-08-20,7967
8,2020-08-21,8119
8,2020-08-22,8275
8,2020-08-23,8427
8,2020-08-24,8605
8,2020-08-25,8759
8,2020-08-26,8927
8,2020-08-27,9083
8,2020-08-28,9195
8,2020-08-29,9279
8,2020-08-30,9380
8,2020-08-31,9513
8,2020-09-01,9606
8,2020-09-02,9728
8,2020-09-03,9844
8,2020-09-04,9967
8,2020-09-05,10102
8,2020-09-06,10255
8,2020-09-07,10406
8,2020-09-08,10553
8,2020-09-09,10704
8,2020-09-10,10860
8,2020-09-11,11021
8,2020-09-12,11185
8,2020-09-13,11353
8,2020-09-14,11520
8,2020-09-15,11672
8,2020-09-16,11816
8,2020-09-17,11948
8,2020-09-18,12073
8,2020-09-19,12226
8,2020-09-20,12385
8,2020-09-21,12535
8,2020-09-22,12666
8,2020-09-23,12787
8,2020-09-24,12921
8,2020-09-25,13045
8,2020-09-26,13153
8,2020-09-27,13259
8,2020-09-28,13391
8,2020-09-29,13518
8,2020-09-30,13649
8,2020-10-01,13806
8,2020-10-02,13965
8,2020-10-03,14117
8,2020-10-04,14266
8,2020-10-05,14410
8,2020-10-06,14568
8,2020-10-07,14730
8,2020-10-08,14899
8,2020-10-09,15066
8,2020-10-10,15231
8,2020-10-11,15399
8,2020-10-12,15570
8,2020-10-13,15752
8,2020-10-14,15955
8,2020-10-15,16212
8,2020-10-16,16501
8,2020-10-17,16774
8,2020-10-18,17055
8,2020-10-19,17350
8,2020-10-20,17651
8,2020-10-21,17948
8,2020-10-22,18250
8,2020-10-23,18556
8,2020-10-24,18858
8,2020-10-25,19157
8,2020-10-26,19445
8,2020-10-27,19729
8,2020-10-28,20040
8,2020-10-29,20315
8,2020-10-30,20634
8,2020-10-31,20875
8,2020-11-01,21202
8,2020-11-02,21523
8,2020-11-03,21904
8,2020-11-04,22300
8,2020-11-05,22721
8,2020-11-06,23210
8,2020-11-07,23705
8,2020-11-08,24206
8,2020-11-09,24731
8,2020-11-10,25294
8,2020-11-11,25801
8,2020-11-12,26211
8,2020-11-13,26701
8,2020-11-14,27233
8,2020-11-15,27830
8,2020-11-16,28432
8,2020-11-17,29126
8,2020-11-18,29837
8,2020-11-19,30623
8,2020-11-20,31459
8,2020-11-21,32196
8,2020-11-22,32761
8,2020-11-23,33556
8,2020-11-24,34300
8,2020-11-25,34944
8,2020-11-26,35600
8,2020-11-27,36245
8,2020-11-28,36790
8,2020-11-29,37625
8,2020-11-30,38182
8,2020-12-01,39014
8,2020-12-02,39719
8,2020-12-03,40501
8,2020-12-04,41302
8,2020-12-05,42148
8,2020-12-06,42988
8,2020-12-07,43683
8,2020-12-08,44436
8,2020-12-09,45188
8,2020-12-10,46061
8,2020-12-11,46863
8,2020-12-12,47742
8,2020-12-13,48530
8,2020-12-14,49191
8,2020-12-15,50000
8,2020-12-16,50637
8,2020-12-17,51424
8,2020-12-18,52004
8,2020-12-19,52542
8,2020-12-20,53003
8,2020-12-21,53425
8,2020-12-22,53814
8,2020-12-23,54317
8,2020-12-24,54827
8,2020-12-25,55380
8,2020-12-26,55755
8,2020-12-27,56254
8,2020-12-28,56572
8,2020-12-29,57146
8,2020-12-30,57727
8,2020-12-31,58316
8,2021-01-01,58316
8,2021-01-02,58991
8,2021-01-03,59438
8,2021-01-04,59623
8,2021-01-05,60283
8,2021-01-06,61008
8,2021-01-07,61705
8,2021-01-08,62378
8,2021-01-09,63033
8,2021-01-10,63595
8,2021-01-11,63971
8,2021-01-12,64627
8,2021-01-13,65334
8,2021-01-14,65994
8,2021-01-15,66635
8,2021-01-16,67216
8,2021-01-17,67690
8,2021-01-18,67982
8,2021-01-19,68568
8,2021-01-20,69238
8,2021-01-21,69916
8,2021-01-22,70655
8,2021-01-23,71441
8,2021-01-24,72274
8,2021-01-25,72812
8,2021-01-26,73691
8,2021-01-27,74567
8,2021-01-28,75454
8,2021-01-29,76350
8,2021-01-30,77251
8,2021-01-31,78127
8,2021-02-01,78992
8,2021-02-02,79934
8,2021-02-03,80941
8,2021-02-04,81993
8,2021-02-05,83082
8,2021-02-06,84212
8,2021-02-07,85336
8,2021-02-08,86289
8,2021-02-09,87528
8,2021-02-10,88671
8,2021-02-11,89776
8,2021-02-12,90835
8,2021-02-13,91987
8,2021-02-14,93075
8,2021-02-15,93850
8,2021-02-16,94651
8,2021-02-17,95726
8,2021-02-18,96838
8,2021-02-19,97909
8,2021-02-20,99062
8,2021-02-21,100246
8,2021-02-22,101285
8,2021-02-23,102306
8,2021-02-24,103327
8,2021-02-25,104313
8,2021-02-26,105229
8,2021-02-27,106215
8,2021-02-28,107167
8,2021-03-01,107931
8,2021-03-02,108823
8,2021-03-03,109674
8,2021-03-04,110521
8,2021-03-05,111301
8,2021-03-06,112078
8,2021-03-07,112897
8,2021-03-08,113580
8,2021-03-09,114209
8,2021-03-10,114840
8,2021-03-11,115442
8,2021-03-12,116123
8,2021-03-13,116821
8,2021-03-14,117474
8,2021-03-15,118017
8,2021-03-16,118492
8,2021-03-17,118938
8,2021-03-18,119528
8,2021-03-19,120022
8,2021-03-20,120541
8,2021-03-21,121200
8,2021-03-22,121544
8,2021-03-23,121847
8,2021-03-24,122295
8,2021-03-25,122767
8,2021-03-26,123216
8,2021-03-27,123641
8,2021-03-28,124134
8,2021-03-29,124419
8,2021-03-30,124723
8,2021-03-31,125157
8,2021-04-01,125506
8,2021-04-02,125842
8,2021-04-03,126183
8,2021-04-04,126531
8,2021-04-05,126795
8,2021-04-06,126936
8,2021-04-07,127192
8,2021-04-08,127509
8,2021-04-09,127795
8,2021-04-10,128155
8,2021-04-11,128393
8,2021-04-12,128518
8,2021-04-13,128752
8,2021-04-14,128959
12,2020-01-22,0
12,2020-01-23,0
12,2020-01-24,0
12,2020-01-25,0
12,2020-01-26,0
12,2020-01-27,0
12,2020-01-28,0
12,2020-01-29,0
12,2020-01-30,0
12,2020-01-31,0
12,2020-02-01,0
12,2020-02-02,0
12,2020-02-03,0
12,2020-02-04,0
12,2020-02-05,0
12,2020-02-06,0
12,2020-02-07,0
12,2020-02-08,0
12,2020-02-09,0
12,2020-02-10,0
12,2020-02-11,0
12,2020-02-12,0
12,2020-02-13,0
12,2020-02-14,0
12,2020-02-15,0
12,2020-02-16,0
12,2020-02-17,0
12,2020-02-18,0
12,2020-02-19,0
12,2020-02-20,0
12,2020-02-21,0
12,2020-02-22,0
12,2020-02-23,0
12,2020-02-24,0
12,2020-02-25,1
12,2020-02-26,1
12,2020-02-27,1
12,2020-02-28,1
12,2020-02-29,1
12,2020-03-01,1
12,2020-03-02,3
12,2020-03-03,5
12,2020-03-04,12
12,2020-03-05,12
12,2020-03-06,17
12,2020-03-07,17
12,2020-03-08,19
12,2020-03-09,20
12,2020-03-10,20
12,2020-03-11,20
12,2020-03-12,24
12,2020-03-13,26
12,2020-03-14,37
12,2020-03-15,48
12,2020-03-16,54
12,2020-03-17,60
12,2020-03-18,74
12,2020-03-19,87
12,2020-03-20,90
12,2020-03-21,139
12,2020-03-22,201
12,2020-03-23,230
12,2020-03-24,264
12,2020-03-25,302
12,2020-03-26,367
12,2020-03-27,409
12,2020-03-28,454
12,2020-03-29,511
12,2020-03-30,584
12,2020-03-31,716
12,2020-04-01,847
12,2020-04-02,986
12,2020-04-03,1171
12,2020-04-04,1251
12,2020-04-05,1320
12,2020-04-06,1423
12,2020-04-07,1468
12,2020-04-08,1572
12,2020-04-09,1666
12,2020-04-10,1761
12,2020-04-11,1825
12,2020-04-12,1914
12,2020-04-13,1983
12,2020-04-14,2070
12,2020-04-15,2160
12,2020-04-16,2268
12,2020-04-17,2418
12,2020-04-18,2534
12,2020-04-19,2629
12,2020-04-20,2718
12,2020-04-21,2811
12,2020-04-22,2910
12,2020-04-23,3007
12,2020-04-24,3127
12,2020-04-25,3256
12,2020-04-26,3382
12,2020-04-27,3517
12,2020-04-28,3649
12,2020-04-29,3848
12,2020-04-30,4006
12,2020-05-01,4154
12,2020-05-02,4295
12,2020-05-03,4474
12,2020-05-04,4648
12,2020-05-05,4838
12,2020-05-06,4997
12,2020-05-07,5182
12,2020-05-08,5369
12,2020-05-09,5558
12,2020-05-10,5723
12,2020-05-11,5891
12,2020-05-12,6067
12,2020-05-13,6253
12,2020-05-14,6442
12,2020-05-15,6629
12,2020-05-16,6821
12,2020-05-17,7019
12,2020-05-18,7201
12,2020-05-19,7377
12,2020-05-20,7542
12,2020-05-21,7728
12,2020-05-22,7918
12,2020-05-23,8113
12,2020-05-24,8306
12,2020-05-25,8503
12,2020-05-26,8697
12,2020-05-27,8857
12,2020-05-28,8997
12,2020-05-29,9134
12,2020-05-30,9267
12,2020-05-31,9394
12,2020-06-01,9513
12,2020-06-02,9626
12,2020-06-03,9733
12,2020-06-04,9831
12,2020-06-05,9935
12,2020-06-06,10050
12,2020-06-07,10154
12,2020-06-08,10265
12,2020-06-09,10382
12,2020-06-10,10484
12,2020-06-11,10589
12,2020-06-12,10698
12,2020-06-13,10810
12,2020-06-14,10919
12,2020-06-15,11031
12,2020-06-16,11147
12,2020-06-17,11268
12,2020-06-18,11385
12,2020-06-19,11504
12,2020-06-20,11631
12,2020-06-21,11771
12,2020-06-22,11920
12,2020-06-23,12076
12,2020-06-24,12248
12,2020-06-25,12445
12,2020-06-26,12685
12,2020-06-27,12968
12,2020-06-28,13273
12,2020-06-29,13571
12,2020-06-30,13907
12,2020-07-01,14272
12,2020-07-02,14657
12,2020-07-03,15070
12,2020-07-04,15500
12,2020-07-05,15941
12,2020-07-06,16404
12,2020-07-07,16879
12,2020-07-08,17348
12,2020-07-09,17808
12,2020-07-10,18242
12,2020-07-11,18712
12,2020-07-12,19195
12,2020-07-13,19689
12,2020-07-14,20216
12,2020-07-15,20770
12,2020-07-16,21355
12,2020-07-17,21948
12,2020-07-18,22549
12,2020-07-19,23084
12,2020-07-20,23691
12,2020-07-21,24278
12,2020-07-22,24872
12,2020-07-23,25484
12,2020-07-24,26159
12,2020-07-25,26764
12,2020-07-26,27357
12,2020-07-27,27973
12,2020-07-28,28615
12,2020-07-29,29229
12,2020-07-30,29831
12,2020-07-31,30394
12,2020-08-01,30950
12,2020-08-02,31465
12,2020-08-03,31972
12,2020-08-04,32504
12,2020-08-05,33055
12,2020-08-06,33626
12,2020-08-07,34155
12,2020-08-08,34693
12,2020-08-09,35160
12,2020-08-10,35712
12,2020-08-11,36204
12,2020-08-12,36699
12,2020-08-13,37187
12,2020-08-14,37664
12,2020-08-15,38133
12,2020-08-16,38583
12,2020-08-17,39025
12,2020-08-18,39444
12,2020-08-19,39847
12,2020-08-20,40258
12,2020-08-21,40667
12,2020-08-22,41068
12,2020-08-23,41460
12,2020-08-24,41858
12,2020-08-25,42228
12,2020-08-26,42619
12,2020-08-27,43016
12,2020-08-28,43403
12,2020-08-29,43781
12,2020-08-30,44146
12,2020-08-31,44494
12,2020-09-01,44833
12,2020-09-02,45158
12,2020-09-03,45469
12,2020-09-04,45773
12,2020-09-05,46071
12,2020-09-06,46364
12,2020-09-07,46653
12,2020-09-08,46938
12,2020-09-09,47216
12,2020-09-10,47488
12,2020-09-11,47752
12,2020-09-12,48007
12,2020-09-13,48254
12,2020-09-14,48496
12,2020-09-15,48734
12,2020-09-16,48966
12,2020-09-17,49194
12,2020-09-18,49413
12,2020-09-19,49623
12,2020-09-20,49826
12,2020-09-21,50023
12,2020-09-22,50214
12,2020-09-23,50400
12,2020-09-24,50579
12,2020-09-25,50754
12,2020-09-26,50914
12,2020-09-27,51067
12,2020-09-28,51213
12,2020-09-29,51368
12,2020-09-30,51530
12,2020-10-01,51690
12,2020-10-02,51847
12,2020-10-03,51995
12,2020-10-04,52136
12,2020-10-05,52270
12,2020-10-06,52399
12,2020-10-07,52520
12,2020-10-08,52658
12,2020-10-09,52804
12,2020-10-10,52940
12,2020-10-11,53072
12,2020-10-12,53325
12,2020-10-13,53399
12,2020-10-14,53584
12,2020-10-15,53777
12,2020-10-16,53998
12,2020-10-17,54203
12,2020-10-18,54402
12,2020-10-19,54616
12,2020-10-20,54829
12,2020-10-21,55081
12,2020-10-22,55357
12,2020-10-23,55630
12,2020-10-24,55880
12,2020-10-25,56143
12,2020-10-26,56419
12,2020-10-27,56706
12,2020-10-28,57026
12,2020-10-29,57332
12,2020-10-30,57651
12,2020-10-31,57942
12,2020-11-01,58272
12,2020-11-02,58574
12,2020-11-03,58979
12,2020-11-04,59527
12,2020-11-05,60169
12,2020-11-06,60800
